DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q5D1E8,O43474,1,3.71,1.0,0.8467391848564148
Q5D1E8,Q12933,1,17.48,1.0,0.9860931634902954
Q5D1E8,Q13546,1,13.356,1.0,0.8835445642471313
Q5D1E8,Q9Y4K3,1,16.74,1.0,0.9719418883323669
P45974,O75444,1,126.44352,10.24,0.9897777438163757
P45974,O95180,1,3.4272,2.52,0.725033509358763695
P45974,P04637,1,2572.49664,193.4208,0.9949057102203369
P45974,Q08050,1,10.3785,10.3785,0.9102863073348999
Q9UPT9,O60341,1,13.764,2.48,0.6348417401313782
Q9UPT9,P01106,1,68.348805,12.3151,0.77367677092552185
Q9UPT9,P09467,1,3.09,1.5,0.782169135259464383
Q9UPT9,P0C0S8,1,30.734077,14.7053,0.950165331363678
Q9UPT9,P14780,1,38.476185,17.8959,0.834755003452301
Q9UPT9,P35354,1,2.37,1.0,0.9829304814338684
Q9UPT9,P48431,1,9.513,3.15,0.5648328065872192
Q9UPT9,P54274,1,3.9775,1.85,0.896656334400177
Q9UPT9,P62807,1,209.13624,45.464400000000005,0.9761114120483398
Q9UPT9,Q13469,1,13.764,2.48,0.9992682337760925
Q9UPT9,Q14469,1,7.678242,3.6738,0.6114724278450012
Q9UPT9,Q96EB6,1,31.888584,7.912800000000001,0.5072505474090576
Q96K76,O95863,1,1.71,1.0,0.8180851936340332
Q96K76,P12830,1,7.1424,2.48,0.6407337784767151
Q96K76,P35222,1,104.017245,22.2735,0.8061308264732361
Q96K76,Q9UGP5,1,5.3865,3.15,0.5232977867126465
Q92905,Q9NZQ7,1,3.9597,1.97,0.6681980073451996
Q0WX57,O95760,1,3.5938,2.38,0.834196339547634125
Q0WX57,P51449,1,35.19213,22.2735,0.7125031352043152
Q0WX57,Q92769,1,3.9184,2.48,0.7763210535049438
Q0WX57,Q9H7L9,1,3.034,1.85,0.9878461956977844
Q0WX57,Q9Y256,1,3.315,1.5,0.9997925162315369
Q9P2H5,P21796,1,1.0,1.0,0.9599596261978149
Q9P2H5,Q8NFZ5,1,23.16816,8.5808,0.6674960255622864
Q9Y5T5,P0C0S8,1,49.536648,32.5899,0.8763949275016785
Q9Y5T5,P53350,1,9.198,2.52,0.8961399793624878
Q9Y5T5,Q9H9S0,1,28.42182,13.797,0.2184314876794815
O94966,O60337,1,6.069,2.38,0.8773912787437439
O94966,O75581,1,5.6406,2.38,0.5797346234321594
O94966,Q13114,1,17.6733,6.57,0.9309395551681519
O94966,Q13547,1,90.19197,38.709,0.3126147985458374
O94966,Q14457,1,2.1411,1.17,0.9989092350006104
O94966,Q5XPI4,1,23.484412,11.4002,0.8041024208068848
O94966,Q86TM6,1,17.0415,3.15,0.62845791578292847
O94966,Q92769,1,4.9848,2.48,0.931172788143158
O94966,Q92828,1,11.4002,11.4002,0.7265435457229614
Q70CQ1,P62807,1,49.85064,7.912800000000001,0.9927207827568054
