DUB,Substrate,label,Ubibrowser2,Ubibrowser2_domain_motif,TransDSI
Q14694,O43623,1,5.4264,1.36,0.8896159529685974
P62068,P10275,1,127.350564,52.6242,0.7633625864982605
Q93009,P51955,1,21.2256,9.648,0.8939242959022522
Q9Y2K6,P35222,1,98.46848,44.7584,0.8550843000411987
Q96RU2,P15056,1,2.76,2.76,0.8773062825202942
Q5VV17,P46937,1,2.1488,1.36,0.8736564517021179
Q93009,P01106,1,369.58381677,43.8993,0.8584846258163452
O94966,P04150,1,23.540104,4.2568,0.7699445486068726
P40818,Q7LBR1,1,27.04746,1.32,0.2761480212211609
P09936,P10636,1,147.040656,2.76,0.9815661907196045
Q6GQQ9,Q13042,1,1.73,1.0,0.32308217883110046
Q9UPT9,P00533,1,16.177092,6.854699999999999,0.7095866203308105
Q93008,Q9NZQ7,1,3.02,1.0,0.5598630309104919
Q6R6M4,O60885,1,1.58,1.0,0.2686879336833954
P40818,P29466,1,4.3776,2.28,0.774691104888916
Q96DX7,Q16665,1,1.48,1.0,0.9303131699562073
Q5VV17,Q14653,1,7.66,7.66,0.9883396625518799
Q93008,Q14457,1,35.506908,15.0453,0.9941389560699463
P09936,P37840,1,15.594,2.76,0.9871893525123596
Q9Y2K6,O75385,1,11.858631,6.854699999999999,0.8881761431694031
P40818,P37840,1,14.4072,2.76,0.9812936186790466
Q92560,Q6FI13,1,43.03812,14.204,0.8583764433860779
Q93009,P46531,1,79.7867088,14.204,0.9013885855674744
Q96DC9,P10070,1,1.9536,1.32,0.9604272842407227
Q70CQ1,P28562,1,8.343328,4.2568,0.6074701547622681
Q14694,P04049,1,6.3384,2.28,0.889261782169342
Q96FW1,P51965,1,7.714192,1.36,0.6906973719596863
P09936,P19838,1,9.8808,2.76,0.7988960146903992
P09936,P10145,1,2.42,1.0,0.12040409445762634
P09936,P05231,1,11.0124,2.76,0.12709537148475647
Q8TEY7,P35813,1,8.36352,3.8016,0.8689320087432861
O00487,P01584,1,3.6432,1.32,0.07554683089256287
Q92995,P53396,1,2.6656,1.36,0.0018668763805180788
Q93008,Q9UPN4,1,31.414,5.56,0.001767910784110427
P54578,P08670,1,3.2096,1.36,0.041017405688762665
Q14694,P36888,1,3.2912,1.36,0.9087552428245544
Q93008,O95835,1,6.392,1.36,0.8648381233215332
Q92995,Q02218,1,10.8976,5.56,0.9893125891685486
O94782,O75385,1,7.8752,4.28,0.8801913261413574
Q93008,Q9Y4H2,1,14.44608,6.566399999999999,0.9864521026611328
A6NNY8,O95863,1,1.9536,1.32,0.891897976398468
Q9Y2K6,Q13546,1,24.539826,6.854699999999999,0.707830011844635
Q6GQQ9,P48431,1,1.73,1.0,0.2935875654220581
Q01804,Q7Z434,1,4.8688,1.36,9.837978723226115e-05
P54578,Q9H5J4,1,4.3143,2.19,0.9657340049743652
Q9Y4E8,Q04206,1,21.9064,7.88,0.9852203130722046
P54578,O95786,1,37.804688,17.3416,0.996274471282959
Q14694,P37198,1,2.6268,1.32,0.9673634171485901
Q8NB14,O60341,1,44.313088,24.0832,0.8186156749725342
Q13107,Q15382,1,3.9864,1.32,0.3116466701030731
P45974,P35222,1,278.56074112,24.0832,0.8662262558937073
